Topic,Count,Name,Representation,Representative_Docs
9,6,9_2019_197_no_wwwperaturangoid,"['2019', '197', 'no', 'wwwperaturangoid', 'pimpinan', 'dilaksanakan', 'ketentuan', '24', 'pengangkatan', '28']","['.\n(3) Anggota pengganti Pimpinan Komisi\nPemberantasan Korupsi sebagaimana dimaksud\npada ayat (1) melanjutkan sisa masa jabatan\npimpinan Komisi Pemberantasan Korupsi yang\ndigantikan.\nwww.peraturan.go.id\n2019, No. 197\n-19-\n24. Ketentuan', 'Dalam hal seseorang ditetapkan sebagai tersangka\noleh Komisi Pemberantasan Korupsi, terhitung sejak\ntanggal penetapan pemeriksaan tersangka\ndilaksanakan berdasarkan ketentuan hukum acara\npidana.\nwww.peraturan.go.id\n2019, No. 197\n-28-\n34. Ketentuan', 'ayat (3).\n(4) Pengangkatan ketua dan anggota Dewan\nPengawas sebagaimana dimaksud pada ayat (1)\ndilaksanakan bersamaan dengan pengangkatan\nPimpinan Komisi Pemberantasan Korupsi periode\ntahun 2019 sampai dengan tahun 2023.\nwww.peraturan.go.id\n2019, No. 197\n-30-']"
10,6,10_jawab_masyarakat_sesuai_penyelenggara,"['jawab', 'masyarakat', 'sesuai', 'penyelenggara', 'negara', 'tanggung', 'hak', 'perundangundangan', 'setiap', 'dengan']","['Komisi Pemberantasan Korupsi wajib mengumumkan gratifikasi yang\nditetapkan menjadi milik negara paling sedikit 1 (satu) kali dalam\nsetahun dalam Berita Negara.\nBAB IV\nTEMPAT KEDUDUKAN, TANGGUNG JAWAB,\nDAN SUSUNAN ORGANISASI', '(1) Peran serta masyarakat dalam penyelenggaraan negara merupakan\nhak dan tanggung jawab masyarakat untuk ikut mewujudkan\nPenyelenggara Negara yang bersih.\n(2) Hubungan antar Penyelenggara Negara dan masyarakat\ndilaksanakan dengan berpegang teguh pada asas-asas umum\npenyelenggaraan negara sebagaimana dimaksud dalam', 'Setiap Penyelenggara Negara berhak untuk :\n1. menerima gaji, tunjangan dan fasilitas lainnya sesuai dengan\nketentuan peraturan perundang-undangan yang berlaku;\n2. menggunakan hak jawab terhadap setiap teguran, tindakan dari\natasannya, ancaman hukuman, dan kritik masyarakat;\n3. menyampaikan pendapat di muka umum secara bertanggung jawab\nPRESIDEN\nREPUBLIK INDONESIA\n- 4 -\nsesuai dengan wewenangnya; dan\n4. mendapatkan hak-hak lain sesuai dengan ketentuan peraturan\nperundang-undangan yang berlaku.']"
11,6,11_memiliki_menjadi_selama_jabatan,"['memiliki', 'menjadi', 'selama', 'jabatan', 'sarjana', 'lima', 'persyaratan', 'tidak', 'cakap', 'pernah']","['ayat (3)\nharus memenuhi persyaratan sebagai berikut :\na. warga negara Republik Indonesia;\nb. bertakwa kepada Tuhan Yang Maha Esa;\nc. sehat jasmani dan rohani;\nd. berpendidikan sarjana hukum atau sarjana lain yang mempunyai\nkeahlian dan berpengalaman sekurang-kurangnya 15 (lima belas)\ntahun di bidang hukum;\ne. berumur sekurang-kurangnya 40 (empat puluh) tahun pada\nproses pemilihan;\nf. tidak pernah melakukan perbuatan tercela;\ng. cakap...\ng. cakap, jujur, memiliki integritas moral yang tinggi, dan memiliki\nreputasi yang baik;\nh. tidak menjadi pengurus salah satu partai politik; dan\ni. melepaskan jabatan struktural dan atau jabatan lainnya selama\nmenjadi hakim ad hoc.', 'Untuk dapat diangkat sebagai Pimpinan Komisi\nPemberantasan Korupsi harus memenuhi persyaratan\nsebagai berikut:\na. warga negara Indonesia;\nb. bertakwa kepada Tuhan Yang Maha Esa;\nc. sehat jasmani dan rohani;\nd. berijazah sarjana hukum atau sarjana lain yang\nmemiliki keahlian dan pengalaman paling sedikit\n15 (lima belas) tahun dalam bidang hukum,\nekonomi, keuangan, atau perbankan;\nwww.peraturan.go.id\n2019, No. 197\n-17-\ne. berusia paling rendah 50 (lima puluh) tahun dan\npaling tinggi 65 (enam puluh lima) tahun pada\nproses pemilihan;\nf. tidak pernah melakukan perbuatan tercela;\ng. cakap, jujur, memiliki integritas moral yang\ntinggi, dan memiliki reputasi yang baik;\nh. tidak menjadi pengurus salah satu partai politik;\ni. melepaskan jabatan struktural dan/atau jabatan\nlainnya selama menjadi anggota Komisi\nPemberantasan Korupsi;\nj. tidak menjalankan profesinya selama menjadi\nanggota Komisi Pemberantasan Korupsi; dan\nk. mengumumkan kekayaannya sebelum dan\nsetelah menjabat sesuai dengan ketentu', 'Untuk dapat diangkat sebagai Pimpinan Komisi Pemberantasan Korupsi\nharus memenuhi persyaratan sebagai berikut:\na. warga negara Republik Indonesia;\nb. bertakwa kepada Tuhan Yang Maha Esa;\nc. sehat jasmani dan rohani;\nd. berijazah sarjana hukum atau sarjana lain yang memiliki keahlian dan\npengalaman sekurang-kurangnya 15 (lima belas) tahun dalam bidang\nhukum, ekonomi, keuangan, atau perbankan;\ne. berumur sekurang-kurangnya 40 (empat puluh) tahun dan\nsetinggi-tingginya 65 (enam puluh lima) tahun pada proses pemilihan;\nf. tidak pernah melakukan perbuatan tercela;\ng. cakap, jujur, memiliki integritas moral yang tinggi, dan memiliki\nreputasi yang baik;\nPRESIDEN\nREPUBLIKINDONESIA\n- 13 -\nh. tidak menjadi pengurus salah satu partai politik;\ni. melepaskan jabatan struktural dan atau jabatan lainnya selama\nmenjadi anggota Komisi Pemberantasan Korupsi;\nj. tidak menjalankan profesinya selama menjadi anggota Komisi\nPemberantasan Korupsi; dan\nk. mengumumkan kekayaannya sesuai dengan peraturan\nperunda']"
12,6,12_republikindonesia_cara_pelaporan_penentuan,"['republikindonesia', 'cara', 'pelaporan', 'penentuan', 'presiden', 'bab', 'status', 'tata', 'dipenuhi', 'diperberat']","['Setiap Anggota Komisi Pemberantasan Korupsi dan pegawai pada\nKomisi Pemberantasan Korupsi yang melakukan tindak pidana korupsi,\nPRESIDEN\nREPUBLIKINDONESIA\n- 26 -\npidananya diperberat dengan menambah 1/3 (satu pertiga) dari ancaman\npidana pokok.\nBAB XI\nKETENTUAN PERALIHAN', '.\n(4) Dalam putusan Pengadilan Negeri sebagaimana dimaksud pada ayat\nPRESIDEN\nREPUBLIKINDONESIA\n- 25 -\n(3) ditentukan jenis, jumlah, jangka waktu, dan cara pelaksanaan\nrehabilitasi dan/atau kompensasi yang harus dipenuhi oleh Komisi\nPemberantasan Korupsi.\nBAB IX\nPEMBIAYAAN', 'PRESIDEN\nREPUBLIKINDONESIA\n- 8 -\nKetentuan dalam Pasal ini mengatur mengenai tata cara pelaporan dan\npenentuan status gratifikasi sebagaimana dimaksud dalam']"
13,5,13_pengawas_dewan_mengawasi_pengambilalihan,"['pengawas', 'dewan', 'mengawasi', 'pengambilalihan', 'sebagaimana', 'dimaksud', 'dalam', 'rangka', 'anggota', 'penggeledahan']","['Untuk dapat diangkat sebagai anggota Dewan\nPengawas sebagaimana dimaksud dalam', '(1) Ketua dan anggota Dewan Pengawas sebagaimana\ndimaksud dalam', '(1) Dalam rangka mengawasi pelaksanaan tugas dan\nwewenang Komisi Pemberantasan Korupsi dibentuk\nDewan Pengawas sebagaimana dimaksud dalam']"
14,5,14_paling_atau_penjara_rupiah,"['paling', 'atau', 'penjara', 'rupiah', 'rp', 'juta', 'sesuatu', 'denda', 'puluh', 'dipidana']","['Setiap orang yang dengan sengaja mencegah, merintangi, atau\nmenggagalkan secara langsung atau tidak langsung penyidikan,\npenuntutan, dan pemeriksaan di sidang pengadilan terhadap tersangka\ndan terdakwa ataupun para saksi dalam perkara korupsi, dipidana\ndengan pidana penjara paling singkat 3 (tiga) tahun dan paling lama 12\n(dua belas) tahun dan atau denda paling sedikit Rp. 150.000.000,00\n(seratus lima puluh juta rupiah) dan paling banyak Rp 600.000.000,00\n(enam ratus juta rupiah).', '(1) Setiap orang yang secara melawan hukum melakukan perbuatan\nmemperkaya diri sendiri atau orang lain atau suatu korporasi yang\ndapat merugikan keuangan negara atau perekonomian negara,\ndipidana penjara dengan penjara seumur hidup atau pidana penjara\npaling singkat 4 (empat) tahun dan paling lama 20 (dua puluh) tahun\ndan denda paling sedikit Rp. 200.000.000,00 (dua ratus juta rupiah)\ndan paling banyak Rp. 1.000.000.000,00 (satu milyar rupiah).\nPRESIDEN\nREPUBLIK INDONESIA\n- 3 -\n(2) Dalam hal tindak pidana korupsi sebagaimana dimaksud dalam ayat (1)\ndilakukan dalam keadaan tertentu, pidana mati dapat dijatuhkan.', 'Setiap orang yang dengan tujuan menguntungkan diri sendiri atau orang\nlain atau suatu korporasi, menyalahgunakan kewenangan, kesempatan\natau sarana yang ada padanya karena jabatan atau kedudukan yang\ndapat merugikan keuangan negara atau perekonomian negara, dipidana\ndengan pidana penjara seumur hidup atau pidana penjara paling singkat\n1 (satu) tahun dan paling lama 20 (dua puluh) tahun dan atau denda\npaling sedikit Rp. 50.000.000,00 (lima puluh juta rupiah) dan paling\nbanyak Rp. 1.000.000.000,00 (satu milyar rupiah).']"
15,5,15_berlaku_perundangundangan_peraturan_ini,"['berlaku', 'perundangundangan', 'peraturan', 'ini', 'membuktikandakwaannya', 'waris', 'serta', 'dicabut', 'uud', 'bertentangan']","['UUD 1945 serta ketentuan\nperaturan perundang-undangan yang berlaku.', 'dan ketentuan peraturan\nperundang-undangan yang berlaku.\nBAB VI\nPERAN SERTA MASYARAKAT', 'Yang dimaksud dengan ""ahli waris"" dalam Pasal ini adalah sesuai dengan\nperaturan perundang-undangan yang berlaku.']"
16,4,16_tambahan_lembaran_jelas_cukup,"['tambahan', 'lembaran', 'jelas', 'cukup', 'nomor', '4620', 'republik', 'indonesia', '4250', '3874']","['Cukup jelas\nTAMBAHAN LEMBARAN NEGARA REPUBLIK INDONESIA NOMOR 4250', 'Cukup jelas\nTAMBAHAN LEMBARAN NEGARA REPUBLIK INDONESIA NOMOR 3874', 'Cukup jelas\nTAMBAHAN LEMBARAN NEGARA REPUBLIK INDONESIA NOMOR 3851']"
17,4,17_terdiri_komisi_subbidang_sub,"['terdiri', 'komisi', 'subbidang', 'sub', 'ketua', 'merangkap', 'anggota', 'bidang', 'empat', 'pimpinan']","['(1) Susunan keanggotaan Komisi Pemeriksa terdiri atas seorang Ketua\nmerangkap Anggota, 4 (empat) orang Wakil Ketua merangkap\nAnggota dan sekurang-kurangnya 20 (dua puluh) orang Anggota\nyang terbagi dalam 4 (empat) Sub Komisi.\n(2) Ketua dan Wakil Ketua Komisi Pemeriksa dipilih oleh dan dari para\nAnggota berdasarkan musyawarah mufakat.\n(3) Empat Sub Komisi sebagaimana dimaksud dalam ayat (1) terdiri\natas:\na. Sub Komisi Eksekutif;\nb. Sub Komisi Legislatif;\nc. Sub Komisi Yudikatif; dan\nd. Sub Komisi Badan Usaha Milik Negara/Badan Usaha Milik\nDaerah.\n(4) Masing-masing Anggota Sub Komisi sebagaimana dimaksud dalam\nayat (3) diangkat sesuai dengan keahliannya dan bekerja secara\nkolegial.\n(5) Dalam melaksanakan tugasnya Komisi Pemeriksa dibantu oleh\nSekretariat Jenderal.\n(6) Komisi Pemeriksa berkedudukan di Ibukota Negara Republik\nIndonesia.\n(7) Wilayah kerja Komisi Pemeriksa meliputi seluruh wilayah Negara\nRepublik Indonesia.\n(8) Komisi Pemeriksa membentuk Komisi Pemeriksa di daerah yang\nditet', '(1) Komisi Pemberantasan Korupsi terdiri atas:\na. Dewan Pengawas yang berjumlah 5 (lima)\norang;\nb. Pimpinan Komisi Pemberantasan Korupsi\nyang terdiri dari 5 (lima) orang Anggota\nKomisi Pemberantasan Korupsi; dan\nc. Pegawai Komisi Pemberantasan Korupsi.\n(2) Susunan Pimpinan Komisi Pemberantasan\nKorupsi sebagaimana dimaksud pada ayat (1)\nhuruf b terdiri dari:\na. ketua merangkap anggota; dan\nb. wakil ketua terdiri dari 4 (empat) orang,\nmasing-masing merangkap anggota.\n(3) Pimpinan Komisi Pemberantasan Korupsi\nsebagaimana dimaksud pada ayat (1) huruf b\nmerupakan pejabat negara.\n(4) Pimpinan Komisi Pemberantasan Korupsi\nsebagaimana dimaksud pada ayat (2) bersifat\nkolektif kolegial.\nwww.peraturan.go.id\n2019, No. 197\n-16-\n18.', 'terdiri atas :\na. Pimpinan Komisi Pemberantasan Korupsi yang terdiri dari 5\n(lima) Anggota Komisi Pemberantasan Korupsi;\nb. Tim Penasihat yang terdiri dari 4 (empat) Anggota; dan\nc. Pegawai Komisi Pemberantasan Korupsi sebagai pelaksana\ntugas.\n(2) Pimpinan Komisi Pemberantasan Korupsi sebagaimana dimaksud\npada ayat (1) huruf a disusun sebagai berikut :\na. Ketua Komisi Pemberantasan Korupsi merangkap Anggota; dan\nb. Wakil Ketua Komisi Pemberantasan Korupsi terdiri atas 4\n(empat) orang, masing-masing merangkap Anggota.\n(3) Pimpinan Komisi Pemberantasan Korupsi sebagaimana dimaksud\npada ayat (1) huruf a adalah pejabat negara.\n(4) Pimpinan Komisi Pemberantasan Korupsi sebagaimana dimaksud\npada ayat (1) huruf a adalah penyidik dan penuntut umum.\n(5) Pimpinan Komisi Pemberantasan Korupsi sebagaimana dimaksud\npada ayat (2) bekerja secara kolektif.\n(6) Pimpinan Komisi Pemberantasan Korupsi sebagaimana dimaksud\npada ayat (1) huruf a adalah penanggung jawab tertinggi Komisi\nPemberantasan Korupsi']"
18,4,18_jabatan_masa_pengawas_dewan,"['jabatan', 'masa', 'pengawas', 'dewan', 'selesai', 'sedang', 'penyadapan', 'kali', 'belas', 'dilaksanakan']","['ayat (1) yang telah selesai dilaksanakan harus\ndipertanggungjawabkan kepada Pimpinan Komisi\nPemberantasan Korupsi dan Dewan Pengawas\npaling lambat 14 (empat belas) hari kerja\nterhitung sejak Penyadapan selesai dilaksanakan.', 'ayat (1) huruf a.\n(2) Anggota Dewan Pengawas berjumlah 5 (lima) orang.\n(3) Anggota Dewan Pengawas sebagaimana dimaksud\npada ayat (2) memegang jabatan selama 4 (empat)\ntahun dan dapat dipilih kembali dalam jabatan yang\nsama hanya untuk 1 (satu) kali masa jabatan.', 'termasuk dan tidak\nterbatas pada aparat penegak hukum yang\nsedang menjabat dan yang telah berpengalaman\npaling sedikit 15 (lima belas) tahun.\n(3) Penunjukan dan pengangkatan sebagaimana\ndimaksud pada ayat (1) untuk 1 (satu) kali masa\njabatan sesuai masa jabatan Dewan Pengawas\nsebagaimana dimaksud dalam']"
19,4,19_bank_tersangka_atau_kepada,"['bank', 'tersangka', 'atau', 'kepada', 'terdakwa', 'memerintahkan', 'terkait', 'keuangan', 'sementara', 'meminta']","['(1) Untuk kepentingan penyidikan, penuntutan, atau pemeriksaan di\nsidang pengadilan, penyidik, penuntut umum, atau hakim berwenang\nmeminta keterangan kepada bank tentang keadaan keuangan\ntersangka atau terdakwa.\n(2) Permintaan keterangan kepada bank sebagaimana dimaksud dalam\nayat (1) diajukan kepada Gubernur Bank Indonesia sesuai dengan\nperaturan perundang-undangan yang berlaku.\n(3) Gubernur Bank Indonesia berkewajiban untuk memenuhi\npermintaan sebagaimana dimaksud dalam ayat (2) dalam waktu\nselambat-lambatnya 3 (tiga) hari kerja, terhitung sejak dokumen\npermintaan diterima secara lengkap.\n(4) Penyidik, penuntut umum, atau hakim dapat meminta kepada bank\nuntuk memblokir rekening simpanan milik tersangka atau terdakwa\nyang diduga hasil dari korupsi.\n(5) Dalam hal hasil pemeriksaan terhadap tersangka atau terdakwa tidak\ndiperoleh bukti yang cukup, atas permintaan penyidik, penuntut\numum, atau hakim, bank pada hari itu juga mencabut pemblokiran.\nPRESIDEN\nREPUBLIK INDONESIA\n- 10 -', 'huruf c, Komisi\nPemberantasan Korupsi berwenang :\na. melakukan penyadapan dan merekam pembicaraan;\nb. memerintahkan kepada instansi yang terkait untuk melarang\nseseorang bepergian ke luar negeri;\nc. meminta keterangan kepada bank atau lembaga keuangan lainnya\ntentang keadaan keuangan tersangka atau terdakwa yang sedang\ndiperiksa;\nd. memerintahkan kepada bank atau lembaga keuangan lainnya\nuntuk memblokir rekening yang diduga hasil dari korupsi milik\ntersangka, terdakwa, atau pihak lain yang terkait;\nPRESIDEN\nREPUBLIKINDONESIA\n- 6 -\ne. memerintahkan...\ne. memerintahkan kepada pimpinan atau atasan tersangka untuk\nmemberhentikan sementara tersangka dari jabatannya;\nf. meminta data kekayaan dan data perpajakan tersangka atau\nterdakwa kepada instansi yang terkait;\ng. menghentikan sementara suatu transaksi keuangan, transaksi\nperdagangan, dan perjanjian lainnya atau pencabutan sementara\nperizinan, lisensi serta konsesi yang dilakukan atau dimiliki oleh\ntersangka atau terdakwa yang diduga berd', 'huruf e, Komisi Pemberantasan Korupsi\nberwenang melakukan penyadapan.\n(2) Dalam melaksanakan tugas penyidikan\nsebagaimana dimaksud pada ayat (1), Komisi\nPemberantasan Korupsi berwenang:\na. memerintahkan kepada instansi yang terkait\nuntuk melarang seseorang bepergian ke luar\nnegeri;\nb. meminta keterangan kepada bank atau\nlembaga keuangan lainnya tentang keadaan\nkeuangan tersangka atau terdakwa yang\nsedang di periksa;\nc. memerintahkan kepada bank atau lembaga\nkeuangan lainnya untuk memblokir rekening\nyang diduga hasil dari korupsi milik\ntersangka, terdakwa, atau pihak lain yang\nterkait;\nd. memerintahkan kepada pimpinan atau\natasan tersangka untuk memberhentikan\nsementara tersangka dari jabatannya;\ne. meminta data kekayaan dan data perpajakan\ntersangka atau terdakwa kepada instansi\nyang terkait;\nf. menghentikan sementara suatu transaksi\nkeuangan, transaksi perdagangan, dan\nperjanjian lainnya atau pencabutan\nsementara perizinan, lisensi serta konsesi\nyang dilakukan atau dimiliki oleh tersa']"
20,4,20_saya_akan_langsung_bersumpahberjanji,"['saya', 'akan', 'langsung', 'bersumpahberjanji', 'tidak', 'bahwa', 'siapapun', 'juga', 'apapun', 'janji']","['(1) Sebelum memangku jabatan, hakim ad hoc wajib mengucapkan\nsumpah/janji menurut agamanya di hadapan Presiden Republik\nIndonesia.\n(2) Sumpah/janji sebagaimana dimaksud pada ayat (1) berbunyi sebagai\nberikut :\na. Saya bersumpah/berjanji dengan sungguh-sungguh bahwa saya\nuntuk melaksanakan tugas ini, langsung atau tidak langsung,\ndengan menggunakan nama atau cara apapun juga, tidak akan\nmemberikan atau menjanjikan sesuatu apapun kepada siapapun\njuga"".\nb. Saya bersumpah/berjanji bahwa saya, untuk melakukan atau\ntidak melakukan sesuatu dalam tugas ini, tidak sekali-kali akan\nmenerima langsung atau tidak langsung dari siapapun juga suatu\njanji atau pemberian"".\nc. Saya bersumpah/berjanji bahwa saya akan setia kepada dan akan\nPRESIDEN\nREPUBLIKINDONESIA\n- 24 -\nmempertahankan serta mengamalkan Pancasila sebagai dasar\nnegara, Undang-Undang Dasar Negara Republik Indonesia\nTahun 1945, serta peraturan perundang-undangan yang berlaku\nbagi negara Republik Indonesia"".\nd. Saya bersumpah/berjanji bahwa', 'PRESIDEN\nREPUBLIK INDONESIA\n- 8 -\n(1) Sebelum memangku jabatannya, Ketua, Wakil Ketua, dan Anggota\nKomisi Pemeriksa mengucapkan sumpah atau janji sesuai dengan\nagamanya, yang berbunyi sebagai berikut :\n""Saya bersumpah atau berjanji bahwa saya senantiasa akan\nmenjalankan tugas dan wewenang saya ini dengan\nsungguh-sungguh, jujur, berani, adil, tidak membeda-bedakan\njabatan, suku, agama, ras dan golongan dari Penyelenggara Negara\nyang saya periksa, dan akan melaksanakan kewajiban saya dengan\nsebaik-baiknya, serta bertanggungjawab sepenuhnya kepada Tuhan\nYang Maha Esa, masyarakat, bangsa dan negara"".\n""Saya bersumpah atau berjanji bahwa saya untuk melakukan atau\ntidak melakukan sesuatu dalam tugas dan wewenang saya ini, tidak\nakan menerima langsung atau tidak langsung dari siapapun juga\nsuatu janji atau pemberian"".\n""Saya bersumpah atau berjanji bahwa saya akan mempertahankan\ndan mengamalkan Pancasila sebagai Dasar Negara, melaksanakan\nUndang-Undang Dasar 1945, dan peraturan perundang-undang', '(1) Sebelum memangku jabatan, Ketua dan Wakil Ketua Komisi\nPemberantasan Korupsi wajib mengucapkan sumpah/janji menurut\nagamanya di hadapan Presiden Republik Indonesia.\n(2) Sumpah/janji sebagaimana dimaksud pada ayat (1) berbunyi sebagai\nberikut :\na. saya...\na. Saya bersumpah/berjanji dengan sungguh-sungguh bahwa saya\nuntuk melaksanakan tugas ini, langsung atau tidak langsung,\ndengan menggunakan nama atau cara apapun juga, tidak\nmemberikan atau menjanjikan sesuatu apapun kepada siapapun\njuga"".\nb. Saya bersumpah/berjanji bahwa saya, untuk melakukan atau\ntidak melakukan sesuatu dalam tugas ini, tidak sekali-kali akan\nmenerima langsung atau tidak langsung dari siapapun juga suatu\njanji atau pemberian"".\nc. Saya bersumpah/berjanji bahwa saya akan setia kepada dan akan\nmempertahankan serta mengamalkan Pancasila sebagai dasar\nnegara, Undang-Undang Dasar Negara Republik Indonesia\nTahun 1945, serta peraturan perundang-undangan yang berlaku\nbagi negara Republik Indonesia"".\nd. Saya bersumpah/berj']"
21,4,21_31_1999_tentang_nomor,"['31', '1999', 'tentang', 'nomor', 'tahun', 'undangundang', 'tindak', 'pemberantasan', '2001', 'pidana']","['Undang-undang Nomor 31 Tahun 1999 tentang\nPemberantasan Tindak Pidana Korupsi dan', 'Undang-undang Nomor 31 Tahun\n1999 tentang Pemberantasan Tindak Pidana Korupsi dan', 'Undang-undang Nomor 31 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi\ndan']"
22,3,22_nomor_lembaran_republik_tahun,"['nomor', 'lembaran', 'republik', 'tahun', 'indonesia', 'tambahan', 'tentang', 'undangundang', 'negara', '1999']","['Undang-Undang Dasar Negara\nRepublik Indonesia Tahun 1945;\n2. Undang-Undang Nomor 30 Tahun 2002 tentang\nKomisi Pemberantasan Tindak Pidana Korupsi\n(Lembaran Negara Republik Indonesia Tahun 2002\nNomor 137, Tambahan Lembaran Negara Republik\nIndonesia Nomor 4250), sebagaimana telah diubah\ndengan Undang-Undang Nomor 10 Tahun 2015\ntentang Penetapan Peraturan Pemerintah Pengganti\nUndang-Undang Nomor 1 Tahun 2015 tentang\nPerubahan Atas Undang-Undang Nomor 30 Tahun\n2002 tentang Komisi Pemberantasan Tindak Pidana\nKorupsi menjadi Undang-Undang (Lembaran Negara\nRepublik Indonesia Tahun 2015 Nomor 107,\nwww.peraturan.go.id\n2019, No. 197\n-3-\nTambahan Lembaran Negara Republik Indonesia\nNomor 5698);\nDengan Persetujuan Bersama\nDEWAN PERWAKILAN RAKYAT REPUBLIK INDONESIA\ndan\nPRESIDEN REPUBLIK INDONESIA\nMEMUTUSKAN:\nMenetapkan : UNDANG-UNDANG TENTANG PERUBAHAN KEDUA ATAS\nUNDANG-UNDANG NOMOR 30 TAHUN 2002 TENTANG\nKOMISI PEMBERANTASAN TINDAK PIDANA KORUPSI.\nPasal I\nBeberapa ketentuan dalam Undang-Undang Nomor', 'Undang-Undang\nDasar Negara Republik Indonesia Tahun 1945;\n2. Undang-Undang Nomor 37 Tahun 1999 tentang Hubungan\nLuar Negeri (Lembaran Negara Republik Indonesia Tahun\n1999 Nomor 156, Tambahan Lembaran Negara Republik\nIndonesia Nomor 3882);\n3. Undang-Undang Nomor 24 Tahun 2000 tentang Perjanjian\nInternasional (Lembaran Negara Republik Indonesia Tahun\n2000 Nomor 185, Tambahan Lembaran Negara Republik\nIndonesia Nomor 4012);\nDengan Persetujuan Bersama\nDEWAN PERWAKILAN RAKYAT REPUBLIK INDONESIA\ndan\nPRESIDEN REPUBLIK INDONESIA\nMEMUTUSKAN:\nMenetapkan : UNDANG-UNDANG TENTANG PENGESAHAN UNITED\nNATIONS CONVENTION AGAINST CORRUPTION, 2003\n(KONVENSI PERSERIKATAN BANGSA-BANGSA ANTI\nKORUPSI, 2003).', 'Undang-Undang Dasar Negara Republik\nIndonesia Tahun 1945;\n2. Undang-Undang Nomor 8 Tahun 1981 tentang Hukum Acara Pidana\n(Lembaran Negara Republik Indonesia Tahun 1981 Nomor 76,\nTambahan Lembaran Negara Republik Indonesia Nomor 3209);\n3. Undang-Undang Nomor 28 Tahun 1999 tentang Penyelenggara\nNegara yang Bersih dan Bebas dari Korupsi, Kolusi, dan Nepotisme\n(Lembaran Negara Republik Indonesia Tahun 1999 Nomor 75,\nTambahan Lembaran Negara Republik Indonesia Nomor 3851);\n4. Undang-\nPRESIDEN\nREPUBLIKINDONESIA\n- 2 -\n4. Undang-Undang Nomor 31 Tahun 1999 tentang Pemberantasan\nTindak Pidana Korupsi (Lembaran Negara Republik Indonesia Tahun\n1999 Nomor 140, Tambahan Lembaran Negara Republik Indonesia\nNomor 3874) sebagaimana telah diubah dengan Undang-Undang\nNomor 20 Tahun 2001 tentang Perubahan atas Undang-Undang\nNomor 31 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi\n(Lembaran Negara Republik Indonesia Tahun 2001 Nomor 134,\nTambahan Lembaran Negara Republik Indonesia Nomor 4150);\nDengan']"
23,3,23_2003_bahasa_reservation_naskah,"['2003', 'bahasa', 'reservation', 'naskah', 'nations', 'pensyaratan', 'convention', 'corruption', 'against', 'united']","['(1) Mengesahkan United Nations Convention Against\nCorruption, 2003 (Konvensi Perserikatan Bangsa-Bangsa\nAnti Korupsi, 2003) dengan Reservation (Pensyaratan)\nterhadap', 'ayat (2) tentang Penyelesaian\nSengketa.\n(2) Salinan naskah asli United Nations Convention Against\nCorruption, 2003 (Konvensi Perserikatan Bangsa-Bangsa\nAnti Korupsi, 2003) dengan Reservation (Pensyaratan)\nterhadap', 'Yang disahkan dalam Undang-Undang ini adalah United Nations\nConvention Against Corruption, 2003 (Konvensi PBB anti Korupsi,\n2003).\nUntuk kepentingan pemasyarakatannya, dipergunakan salinan\nnaskah asli dalam bahasa Inggris dan terjemahan dalam bahasa\nIndonesia. Apabila terjadi perbedaan pengertian terhadap terjemahan\ndalam bahasa Indonesia, maka dipergunakan salinan naskah aslinya\ndalam bahasa Inggris.\nDiajukannya Reservation (pensyaratan) terhadap']"
