uncac_article,uncac_preview,padanan_terbaik,similarity,status,emoji
Article 26,"Liability of legal persons
1. Each State Party shall adopt such measures as may be necessary,
consis...",UU_28_1999 Pasal 1,0.7404,Diadopsi Sebagian,🟡
Article 27,"Participation and attempt
1. Each State Party shall adopt such legislative and other measures as
may...",UU_28_1999 Pasal 1,0.7069,Diadopsi Sebagian,🟡
Article 28,"Knowledge, intent and purpose
as elements of an offence
Knowledge, intent or purpose required as an ...",UU_31_1999 Pasal 2,0.5384,GAP - Belum Diadopsi,❌
Article 29,"Statute of limitations
Each State Party shall, where appropriate, establish under its domestic law
a...",UU_20_2001 Pasal 12,0.5873,GAP - Belum Diadopsi,❌
Article 30,"Prosecution, adjudication and sanctions
1. Each State Party shall make the commission of an offence ...",UU_28_1999 Pasal 1,0.7062,Diadopsi Sebagian,🟡
Article 31,"Freezing, seizure and confiscation
1. Each State Party shall take, to the greatest extent possible w...",UU_30_2002 Pasal 6,0.7315,Diadopsi Sebagian,🟡
Article 32,"Protection of witnesses, experts and victims
1. Each State Party shall take appropriate measures in ...",UU_28_1999 Pasal 9,0.7091,Diadopsi Sebagian,🟡
Article 33,"Protection of reporting persons
Each State Party shall consider incorporating into its domestic lega...",UU_31_1999 Pasal 14,0.5632,GAP - Belum Diadopsi,❌
Article 34,"Consequences of acts of corruption
With due regard to the rights of third parties acquired in good f...",UU_20_2001 Pasal 12,0.6236,GAP - Belum Diadopsi,❌
Article 35,"Compensation for damage
Each State Party shall take such measures as may be necessary, in accord-
an...",UU_20_2001 Pasal 12,0.5952,GAP - Belum Diadopsi,❌
Article 36,"Specialized authorities
Each State Party shall, in accordance with the fundamental principles of its...",UU_28_1999 Pasal 1,0.6397,GAP - Belum Diadopsi,❌
Article 37,"Cooperation with law enforcement authorities
1. Each State Party shall take appropriate measures to ...",UU_28_1999 Pasal 9,0.7014,Diadopsi Sebagian,🟡
Article 38,"Cooperation between national authorities
Each State Party shall take such measures as may be necessa...",UU_30_2002 Pasal 6,0.6426,GAP - Belum Diadopsi,❌
Article 39,"Cooperation between national authorities
and the private sector
1. Each State Party shall take such ...",UU_28_1999 Pasal 1,0.7023,Diadopsi Sebagian,🟡
Article 40,"Bank secrecy
Each State Party shall ensure that, in the case of domestic criminal inves-
tigations o...",UU_31_1999 Pasal 14,0.5796,GAP - Belum Diadopsi,❌
Article 41,"Criminal record
Each State Party may adopt such legislative or other measures as may be
necessary to...",UU_30_2002 Pasal 41,0.6183,GAP - Belum Diadopsi,❌
Article 42,"Jurisdiction
1. Each State Party shall adopt such measures as may be necessary to
establish its juri...",UU_28_1999 Pasal 1,0.6843,Diadopsi Sebagian,🟡
Article 43,"International cooperation
1. States Parties shall cooperate in criminal matters in accordance with
a...",UU_28_1999 Pasal 1,0.6466,GAP - Belum Diadopsi,❌
Article 44,"Extradition
1. This article shall apply to the offences established in accordance with
this Conventi...",UU_20_2001 Pasal 12,0.7187,Diadopsi Sebagian,🟡
Article 45,"Transfer of sentenced persons
States Parties may consider entering into bilateral or multilateral ag...",UU_20_2001 Pasal 12,0.501,GAP - Belum Diadopsi,❌
Article 46,"Mutual legal assistance
1. States Parties shall afford one another the widest measure of mutual
lega...",UU_31_1999 Pasal 41,0.759,Diadopsi Sebagian,🟡
Article 47,"Transfer of criminal proceedings
States Parties shall consider the possibility of transferring to on...",UU_20_2001 Pasal 12,0.5494,GAP - Belum Diadopsi,❌
Article 48,"Law enforcement cooperation
1. States Parties shall cooperate closely with one another, consistent w...",UU_28_1999 Pasal 1,0.6872,Diadopsi Sebagian,🟡
Article 49,"Joint investigations
States Parties shall consider concluding bilateral or multilateral agreements
o...",UU_30_2002 Pasal 44,0.5838,GAP - Belum Diadopsi,❌
Article 50,"Special investigative techniques
1. In order to combat corruption effectively, each State Party shal...",UU_28_1999 Pasal 9,0.6634,Diadopsi Sebagian,🟡
Article 51,"General provision
The return of assets pursuant to this chapter is a fundamental principle of
this C...",UU_7_2006 Pasal 66,0.4509,GAP - Belum Diadopsi,❌
Article 52,"Prevention and detection of transfers
of proceeds of crime
1. Without prejudice to article 14 of thi...",UU_19_2019 Pasal 6,0.6385,GAP - Belum Diadopsi,❌
Article 53,"Measures for direct recovery of property
Each State Party shall, in accordance with its domestic law...",UU_20_2001 Pasal 12,0.7104,Diadopsi Sebagian,🟡
Article 54,"Mechanisms for recovery of property through
international cooperation in confiscation
1. Each State ...",UU_20_2001 Pasal 12,0.6922,Diadopsi Sebagian,🟡
Article 55,"International cooperation for
purposes of confiscation
1. A State Party that has received a request ...",UU_30_2002 Pasal 63,0.7012,Diadopsi Sebagian,🟡
Article 56,"Special cooperation
Without prejudice to its domestic law, each State Party shall endeavour to
take ...",UU_28_1999 Pasal 9,0.6372,GAP - Belum Diadopsi,❌
Article 57,"Return and disposal of assets
1. Property confiscated by a State Party pursuant to article 31 or 55 ...",UU_31_1999 Pasal 19,0.7059,Diadopsi Sebagian,🟡
Article 58,"Financial intelligence unit
States Parties shall cooperate with one another for the purpose of preve...",UU_30_2002 Pasal 6,0.6119,GAP - Belum Diadopsi,❌
Article 59,"Bilateral and multilateral agreements and arrangements
States Parties shall consider concluding bila...",UU_7_2006 Pasal 66,0.4788,GAP - Belum Diadopsi,❌
Article 60,"Training and technical assistance
1. Each State Party shall, to the extent necessary, initiate, deve...",UU_19_2019 Pasal 6,0.7303,Diadopsi Sebagian,🟡
Article 61,"Collection, exchange and analysis of
information on corruption
1. Each State Party shall consider an...",UU_30_2002 Pasal 1,0.5806,GAP - Belum Diadopsi,❌
Article 62,"Other measures: implementation of the Convention
through economic development and technical assistan...",UU_31_1999 Pasal 41,0.6196,GAP - Belum Diadopsi,❌
Article 63,"Conference of the States Parties to the Convention
1. A Conference of the States Parties to the Conv...",UU_31_1999 Pasal 43,0.5954,GAP - Belum Diadopsi,❌
Article 64,"Secretariat
1. The Secretary-General of the United Nations shall provide the
necessary secretariat s...",UU_19_2019 Pasal 15,0.5868,GAP - Belum Diadopsi,❌
Article 65,"Implementation of the Convention
1. Each State Party shall take the necessary measures, including le...",UU_28_1999 Pasal 1,0.6501,Diadopsi Sebagian,🟡
Article 66,"Settlement of disputes
l. States Parties shall endeavour to settle disputes concerning the inter-
pr...",UU_31_1999 Pasal 19,0.6739,Diadopsi Sebagian,🟡
Article 67,"Signature, ratification, acceptance,
approval and accession
1. This Convention shall be open to all ...",UU_30_2002 Pasal 72,0.5578,GAP - Belum Diadopsi,❌
Article 68,"Entry into force
1. This Convention shall enter into force on the ninetieth day after the
date of de...",UU_31_1999 Pasal 1,0.628,GAP - Belum Diadopsi,❌
Article 69,"Amendment
1. After the expiry of five years from the entry into force of this Con-
vention, a State ...",UU_31_1999 Pasal 45,0.5604,GAP - Belum Diadopsi,❌
Article 70,"Denunciation
1. A State Party may denounce this Convention by written notification
to the Secretary-...",UU_19_2019 Pasal 40,0.5138,GAP - Belum Diadopsi,❌
Article 71,"Depositary and languages
1. The Secretary-General of the United Nations is designated depositary
of ...",UU_7_2006 Pasal 2,0.5078,GAP - Belum Diadopsi,❌
